source_pdf,source_page,source_table_index,category,subcategory,part,radial_size_normalized,cost_full,cost_empty,mass_full_or_value,mass_empty,max_temp_k_full_or_value,max_temp_k_secondary_or_skin,parameters_json,radial_size,cost,mass_t,mass_t_full,mass_t_empty,max_temp_k,tolerance_g,capacity,capacity_electricity,torque_kn_m,s_a_s_level,electricity_electricity_per_s,oxidizer,liquid_fuel,monopropellant,xenon,ore,fuel,fuel_per_s,thrust_kn,thrust_kn_atm,thrust_kn_vac,twr,twr_atm,twr_vac,twr_full_atm,twr_full_vac,twr_empty_atm,twr_empty_vac,isp_s_atm,isp_s_vac,ablator,antenna_rating,brake_torque_knm,crew_capacity,data_size_mits,deflection_range_deg,deflection_surface_part_percent,deployable,dimensions_m_l,dimensions_m_sd,dimensions_m_w_per_e,ejection_impulse_kgf_s,electricity_electricity_per_mit,electricity_per_mass_electricity_per_s_t,experiment_base_science_value,fuel_consumption_per_s,full_deploy_altitude_m,fully_deployed_diameter,intake_air_initial_per_max,intake_area_m2,inventory_slots,isp_s_empty_atm,isp_s_empty_vac,lift,max_altitude_m,max_length_m,max_motor_speed_m_per_s,max_radius_m,net_transmission_speed_mits_per_s,packed_volume_l,panel_cost_per_m2,panel_mass_t_per_m2,relay_capable,required_crew,required_crew_per_power,scanning_mode,scanning_resource,semi_deploy_pressure_atm,semi_deployed_diameter,stacking_capacity,steerable,tolerance_m_per_s,volume_limit_l,xenon_per_s
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,EAS-1 External Command Seat,Radial mounted,200,,0.05,,1200,,"{""capacity_electricity"": ""-"", ""cost"": ""200"", ""mass_t"": ""0.05"", ""max_temp_k"": ""1200"", ""radial_size"": ""Radial mounted"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6"", ""torque_kn_m"": ""-""}",Radial mounted,200,0.05,,,1200,50,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne RoveMate,Small,800,,0.15,,1200,,"{""capacity_electricity"": ""120 ⚡"", ""cost"": ""800"", ""mass_t"": ""0.15"", ""max_temp_k"": ""1200"", ""radial_size"": ""Small"", ""required_crew_per_power"": ""2.4 ⚡ /min (144 ⚡ /h)"", ""s_a_s_level"": ""0"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""-""}",Small,800,0.15,,,1200,50,,120 ⚡,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 ⚡ /min (144 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne QBE,Tiny,360,,0.07,,1200,,"{""capacity_electricity"": ""5 ⚡"", ""cost"": ""360"", ""mass_t"": ""0.07"", ""max_temp_k"": ""1200"", ""radial_size"": ""Tiny"", ""required_crew_per_power"": ""1.5 ⚡ /min (90 ⚡ /h)"", ""s_a_s_level"": ""0"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""15"", ""torque_kn_m"": ""-""}",Tiny,360,0.07,,,1200,50,,5 ⚡,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 ⚡ /min (90 ⚡ /h),,,,,,,15,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne HECS,Tiny,650,,0.1,,1200,,"{""capacity_electricity"": ""10 ⚡"", ""cost"": ""650"", ""mass_t"": ""0.1"", ""max_temp_k"": ""1200"", ""radial_size"": ""Tiny"", ""required_crew_per_power"": ""1.5 ⚡ /min (90 ⚡ /h)"", ""s_a_s_level"": ""1"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""0.5""}",Tiny,650,0.1,,,1200,50,,10 ⚡,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 ⚡ /min (90 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne OKTO,Tiny,450,,0.1,,1200,,"{""capacity_electricity"": ""10 ⚡"", ""cost"": ""450"", ""mass_t"": ""0.1"", ""max_temp_k"": ""1200"", ""radial_size"": ""Tiny"", ""required_crew_per_power"": ""1.2 ⚡ /min (72 ⚡ /h)"", ""s_a_s_level"": ""0"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""0.3""}",Tiny,450,0.1,,,1200,50,,10 ⚡,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 ⚡ /min (72 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne OKTO2,Tiny,1480,,0.04,,1200,,"{""capacity_electricity"": ""5 ⚡"", ""cost"": ""1480"", ""mass_t"": ""0.04"", ""max_temp_k"": ""1200"", ""radial_size"": ""Tiny"", ""required_crew_per_power"": ""1.8 ⚡ /min (108 ⚡ /h)"", ""s_a_s_level"": ""2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""-""}",Tiny,1480,0.04,,,1200,50,,5 ⚡,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 ⚡ /min (108 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne Stayputnik,Tiny,300,,0.05,,1800,,"{""capacity_electricity"": ""10 ⚡"", ""cost"": ""300"", ""mass_t"": ""0.05"", ""max_temp_k"": ""1800"", ""radial_size"": ""Tiny"", ""required_crew_per_power"": ""1.67 ⚡ /min (100 ⚡ /h)"", ""s_a_s_level"": ""-"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""-""}",Tiny,300,0.05,,,1800,50,,10 ⚡,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67 ⚡ /min (100 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,Probodobodyne HECS2,Small,7500,,0.2,,2000,,"{""capacity_electricity"": ""1000 ⚡"", ""cost"": ""7500"", ""mass_t"": ""0.2"", ""max_temp_k"": ""2000"", ""radial_size"": ""Small"", ""required_crew_per_power"": ""3.0 ⚡ /min (180 ⚡ /h)"", ""s_a_s_level"": ""3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""8"", ""torque_kn_m"": ""10""}",Small,7500,0.2,,,2000,50,,1000 ⚡,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0 ⚡ /min (180 ⚡ /h),,,,,,,8,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,RC-001S Remote Guidance Unit,Small,2250,,0.1,,2000,,"{""capacity_electricity"": ""15 ⚡"", ""cost"": ""2250"", ""mass_t"": ""0.1"", ""max_temp_k"": ""2000"", ""radial_size"": ""Small"", ""required_crew_per_power"": ""3.0 ⚡ /min (180 ⚡ /h)"", ""s_a_s_level"": ""3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""9"", ""torque_kn_m"": ""0.5""}",Small,2250,0.1,,,2000,50,,15 ⚡,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0 ⚡ /min (180 ⚡ /h),,,,,,,9,,
Parts - Kerbal Space Program Wiki.pdf,4,0,Pods,Pods,RC-L01 Remote Guidance Unit,Large,3400,,0.5,,2000,,"{""capacity_electricity"": ""30 ⚡"", ""cost"": ""3400"", ""mass_t"": ""0.5"", ""max_temp_k"": ""2000"", ""radial_size"": ""Large"", ""required_crew_per_power"": ""4.8 ⚡ /min (288 ⚡ /h)"", ""s_a_s_level"": ""3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""9"", ""torque_kn_m"": ""1.5""}",Large,3400,0.5,,,2000,50,,30 ⚡,1.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8 ⚡ /min (288 ⚡ /h),,,,,,,9,,
Parts - Kerbal Space Program Wiki.pdf,5,1,Pods,Pods,MK2 Drone Core,Mk2,2700,,0.2,,2500,,"{""capacity_electricity"": ""250 ⚡"", ""cost"": ""2700"", ""mass_t"": ""0.2"", ""max_temp_k"": ""2500"", ""radial_size"": ""Mk2"", ""required_crew_per_power"": ""3.0 ⚡ /min (180 ⚡ /h)"", ""s_a_s_level"": ""3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""20"", ""torque_kn_m"": ""15/3/3""}",Mk2,2700,0.2,,,2500,50,,250 ⚡,15/3/3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0 ⚡ /min (180 ⚡ /h),,,,,,,20,,
Parts - Kerbal Space Program Wiki.pdf,5,1,Pods,Pods,MPO Probe,Small,9900,9854,0.895,0.395,2200,,"{""capacity_electricity"": ""1000 ⚡ 45 LF 55 O"", ""cost"": ""9900 (9854)"", ""mass_t"": ""0.895 (0.395)"", ""max_temp_k"": ""2200"", ""radial_size"": ""Small"", ""required_crew_per_power"": ""3.0 ⚡ /min (180 ⚡ /h)"", ""s_a_s_level"": ""3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""9"", ""torque_kn_m"": ""6""}",Small,9900 (9854),0.895 (0.395),,,2200,50,,1000 ⚡ 45 LF 55 O,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0 ⚡ /min (180 ⚡ /h),,,,,,,9,,
Parts - Kerbal Space Program Wiki.pdf,5,1,Pods,Pods,MTM Stage,Small,21500,6300,0.795,0.415,2200,,"{""capacity_electricity"": ""4000 ⚡ 3800 XE"", ""cost"": ""21500 (6300)"", ""mass_t"": ""0.795 (0.415)"", ""max_temp_k"": ""2200"", ""radial_size"": ""Small"", ""required_crew_per_power"": ""1.8 ⚡ /min (108 ⚡ /h)"", ""s_a_s_level"": ""2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""torque_kn_m"": ""12""}",Small,21500 (6300),0.795 (0.415),,,2200,50,,4000 ⚡ 3800 XE,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 ⚡ /min (108 ⚡ /h),,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,R-4 'Dumpling' External Tank,X,50,39.90,,,2000,,"{""cost"": ""50 (39.90)"", ""liquid_fuel"": ""9.9"", ""mass_t_empty"": ""0.0138"", ""mass_t_full"": ""0.1238"", ""max_temp_k"": ""2000"", ""oxidizer"": ""12.1"", ""radial_size"": ""X"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""5""}",X,50 (39.90),,0.1238,0.0138,2000,50,,,,,,12.1,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,R-11 'Baguette' External Tank,X,50,25.21,,,2000,,"{""cost"": ""50 (25.21)"", ""liquid_fuel"": ""24.3"", ""mass_t_empty"": ""0.0338"", ""mass_t_full"": ""0.3038"", ""max_temp_k"": ""2000"", ""oxidizer"": ""29.7"", ""radial_size"": ""X"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""5""}",X,50 (25.21),,0.3038,0.0338,2000,50,,,,,,29.7,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,R-12 'Doughnut' External Tank,Small,147,119.46,,,2000,,"{""cost"": ""147 (119.46)"", ""liquid_fuel"": ""27"", ""mass_t_empty"": ""0.0375"", ""mass_t_full"": ""0.3375"", ""max_temp_k"": ""2000"", ""oxidizer"": ""33"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Small,147 (119.46),,0.3375,0.0375,2000,50,,,,,,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Oscar-B Fuel Tank,Tiny,70,51.64,,,2000,,"{""cost"": ""70 (51.64)"", ""liquid_fuel"": ""18"", ""mass_t_empty"": ""0.025"", ""mass_t_full"": ""0.225"", ""max_temp_k"": ""2000"", ""oxidizer"": ""22"", ""radial_size"": ""Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Tiny,70 (51.64),,0.225,0.025,2000,50,,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,FL-T100 Fuel Tank,Small,150,104.1,,,2000,,"{""cost"": ""150 (104.1)"", ""liquid_fuel"": ""45"", ""mass_t_empty"": ""0.0625"", ""mass_t_full"": ""0.5625"", ""max_temp_k"": ""2000"", ""oxidizer"": ""55"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Small,150 (104.1),,0.5625,0.0625,2000,50,,,,,,55,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,FL-T200 Fuel Tank,Small,275,183.2,,,2000,,"{""cost"": ""275 (183.2)"", ""liquid_fuel"": ""90"", ""mass_t_empty"": ""0.125"", ""mass_t_full"": ""1.125"", ""max_temp_k"": ""2000"", ""oxidizer"": ""110"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Small,275 (183.2),,1.125,0.125,2000,50,,,,,,110,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,FL-T400 Fuel Tank,Small,500,316.4,,,2000,,"{""cost"": ""500 (316.4)"", ""liquid_fuel"": ""180"", ""mass_t_empty"": ""0.25"", ""mass_t_full"": ""2.25"", ""max_temp_k"": ""2000"", ""oxidizer"": ""220"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Small,500 (316.4),,2.25,0.25,2000,50,,,,,,220,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,FL-T800 Fuel Tank,Small,800,432.8,,,2000,,"{""cost"": ""800 (432.8)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.5"", ""mass_t_full"": ""4.5"", ""max_temp_k"": ""2000"", ""oxidizer"": ""440"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Small,800 (432.8),,4.5,0.5,2000,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Rockomax X200-8 Fuel Tank,Large,800,432.8,,,2000,,"{""cost"": ""800 (432.8)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.5"", ""mass_t_full"": ""4.5"", ""max_temp_k"": ""2000"", ""oxidizer"": ""440"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Large,800 (432.8),,4.5,0.5,2000,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Rockomax X200-16 Fuel Tank,Large,1550,815.6,,,2000,,"{""cost"": ""1550 (815.6)"", ""liquid_fuel"": ""720"", ""mass_t_empty"": ""1"", ""mass_t_full"": ""9"", ""max_temp_k"": ""2000"", ""oxidizer"": ""880"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Large,1550 (815.6),,9,1,2000,50,,,,,,880,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Rockomax X200-32 Fuel Tank,Large,3000,1531.2,,,2000,,"{""cost"": ""3000 (1531.2)"", ""liquid_fuel"": ""1440"", ""mass_t_empty"": ""2"", ""mass_t_full"": ""18"", ""max_temp_k"": ""2000"", ""oxidizer"": ""1760"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Large,3000 (1531.2),,18,2,2000,50,,,,,,1760,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Rockomax Jumbo-64 Fuel Tank,Large,5750,2812.4,,,2000,,"{""cost"": ""5750 (2812.4)"", ""liquid_fuel"": ""2880"", ""mass_t_empty"": ""4"", ""mass_t_full"": ""36"", ""max_temp_k"": ""2000"", ""oxidizer"": ""3520"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Large,5750 (2812.4),,36,4,2000,50,,,,,,3520,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Kerbodyne S3-3600 Tank,Extra large,3250,1597.6,,,2000,,"{""cost"": ""3250 (1597.6)"", ""liquid_fuel"": ""1620"", ""mass_t_empty"": ""2.25"", ""mass_t_full"": ""20.25"", ""max_temp_k"": ""2000"", ""oxidizer"": ""1980"", ""radial_size"": ""Extra large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Extra large,3250 (1597.6),,20.25,2.25,2000,50,,,,,,1980,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
